slide,title,avatar_style,tone,audio_file,narration
1,HW6: Kaggle 50 Startups Profit Prediction,Professional male presenter,Calm and confident,../audio/slide_01_male_narration.wav,"Welcome to my HW6 project presentation. In this project, I use the Kaggle 50 Startups dataset to predict startup profit. The analysis follows the CRISP-DM process and uses Scikit-learn regression models to compare different feature sets."
2,Project Objective,Professional male presenter,Calm and confident,../audio/slide_02_male_narration.wav,"The main objective is to predict startup profit based on spending information. The model is designed to be interpretable, so it can support decisions by founders, investors, analysts, and managers."
3,Dataset Overview,Professional male presenter,Calm and confident,../audio/slide_03_male_narration.wav,"The dataset contains 50 startup records. The target variable is Profit. The predictors include R&D spending, administrative spending, marketing spending, and state. Since Profit is a continuous numeric value, this is a supervised regression problem."
4,CRISP-DM Workflow,Professional male presenter,Calm and confident,../audio/slide_04_male_narration.wav,"This project follows the six steps of CRISP-DM. This structure helps connect the business question, data exploration, model building, evaluation, and final deployment simulation into one complete workflow."
5,Business Understanding,Professional male presenter,Calm and confident,../audio/slide_05_male_narration.wav,"The business question is which spending patterns are associated with higher profit. Because the dataset is observational and small, I avoid claiming causality. The model can identify predictive associations, but it cannot prove that one feature directly causes profit to increase."
6,Expert Panel View,Professional male presenter,Calm and confident,../audio/slide_06_male_narration.wav,"To make the interpretation more business-oriented, I use four expert perspectives. The marketing expert focuses on customer acquisition, the CEO focuses on decision usefulness, the policy expert considers regional factors, and the R&D expert focuses on product innovation."
7,Data Understanding,Professional male presenter,Calm and confident,../audio/slide_07_male_narration.wav,"The dataset is clean. It has 50 rows and 5 useful columns after removing the exported index column. There are no missing values and no duplicate rows. The state variable contains New York, California, and Florida."
8,Feature Meaning,Professional male presenter,Calm and confident,../audio/slide_08_male_narration.wav,"Each feature has a business meaning. R&D spending reflects product development and innovation. Marketing spending reflects market expansion and customer acquisition. Administration may represent operating scale. State may represent regional conditions, but the sample size is too small for strong regional conclusions."
9,Correlation Results,Professional male presenter,Calm and confident,../audio/slide_09_male_narration.wav,"The correlation results show that R&D Spend has the strongest direct linear relationship with Profit. Marketing Spend is also positively associated with Profit, but it is weaker than R&D. Administration has a much weaker correlation."
10,Data Preparation,Professional male presenter,Calm and confident,../audio/slide_10_male_narration.wav,"For data preparation, I separate the features and target variable. The categorical State feature is encoded with OneHotEncoder, not label encoding. I use ColumnTransformer and Pipeline to keep preprocessing and modeling in one reproducible workflow."
11,Modeling Strategy,Professional male presenter,Calm and confident,../audio/slide_11_male_narration.wav,"The primary model is Linear Regression. This model is appropriate because the target is continuous, the dataset is small, and the results are easier to explain in a business and educational setting."
12,Model Experiments,Professional male presenter,Calm and confident,../audio/slide_12_male_narration.wav,"I compare four feature sets. First, I test R&D alone. Second, I add Marketing. Third, I include all numerical features. Finally, I include all features, including State. This helps test whether additional variables actually improve prediction."
13,Evaluation Metrics,Professional male presenter,Calm and confident,../audio/slide_13_male_narration.wav,"The models are evaluated with R2, MAE, and RMSE on the train-test split. Since the dataset has only 50 rows, I also use 5-fold cross-validation to check model stability and reduce reliance on one split."
14,Model Comparison,Professional male presenter,Calm and confident,../audio/slide_14_male_narration.wav,"The comparison shows that R&D only performs very strongly. However, R&D plus Marketing has the highest cross-validation R2 mean, at 0.9389. The numerical and all-feature models perform worse, which shows that more features do not automatically improve the model."
15,Feature Selection Evidence,Professional male presenter,Calm and confident,../audio/slide_15_male_narration.wav,"Multiple feature selection methods support the same conclusion. Pearson correlation, SelectKBest, RFE, LASSO, and Random Forest importance all show that R&D Spend is the dominant predictive feature."
16,Random Forest Importance,Professional male presenter,Calm and confident,../audio/slide_16_male_narration.wav,"The Random Forest feature importance result also confirms the same pattern. R&D Spend contributes most of the predictive signal. Marketing is second, while Administration and State contribute very little in this dataset."
17,Final Model Decision,Professional male presenter,Calm and confident,../audio/slide_17_male_narration.wav,"The final main model uses R&D Spend and Marketing Spend. R&D alone is kept as the simplest benchmark. This choice balances predictive performance, business meaning, simplicity, and interpretability."
18,Deployment Simulation,Professional male presenter,Calm and confident,../audio/slide_18_male_narration.wav,"For deployment simulation, I use a sample startup with R&D Spend of 120,000, Administration of 130,000, Marketing Spend of 250,000, and State as New York. The final model predicts a profit of about 150,042.94."
19,Business Interpretation,Professional male presenter,Calm and confident,../audio/slide_19_male_narration.wav,"The business interpretation is that product innovation appears to be the strongest signal associated with profit. Marketing can support market reach, but its incremental value is small. Administration and State were tested, but they do not add meaningful predictive value in this small dataset."
20,Final Conclusion,Professional male presenter,Calm and confident,../audio/slide_20_male_narration.wav,"In conclusion, the recommended model is R&D Spend plus Marketing Spend. R&D Spend remains the strongest predictor, while Marketing provides useful business context. Because the dataset contains only 50 observations, the results should be treated as predictive associations rather than causal conclusions. Thank you."
