Slide,Title,OnSlideSummary,VoiceOverSummary,VisualSuggestion
1,Title,"HW6: Kaggle 50 Startups Profit Prediction; CRISP-DM + Scikit-learn Regression Project","Introduce the HW6 project and explain that it predicts startup profit with CRISP-DM and Scikit-learn.","Excalidraw infographic or startup analytics icon"
2,Project Objective,"Predict Profit; use spending variables; build interpretable regression model","Explain the project objective and decision-support purpose.","Arrow from spending to predicted profit"
3,Dataset Overview,"50 records; target Profit; features R&D, Administration, Marketing, State","Describe dataset columns and supervised regression framing.","Small feature table"
4,CRISP-DM Workflow,"Business Understanding; Data Understanding; Data Preparation; Modeling; Evaluation; Deployment","Explain why CRISP-DM structures the full workflow.","Draw.io workflow or Mermaid flow"
5,Business Understanding,"Question: which spending patterns are associated with higher profit; avoid causal claims","Explain the business question and why causality should not be overclaimed.","Stakeholder icons"
6,Expert Panel View,"Marketing expert; Top CEO; Governor/policy expert; R&D expert","Introduce the multidisciplinary interpretation framework.","Four expert cards"
7,Data Understanding,"50 rows; 5 columns; missing values 0; duplicates 0; three states","Summarize data quality and state categories.","Checklist graphic"
8,Feature Meaning,"R&D: innovation; Marketing: expansion; Administration: scale; State: region","Explain the business meaning of each predictor.","Lab, megaphone, office, map icons"
9,Correlation Results,"R&D 0.9729; Marketing 0.7478; Administration 0.2007","Explain that R&D has the strongest linear association with Profit.","Pearson correlation chart"
10,Data Preparation,"Separate X/y; OneHotEncoder; ColumnTransformer; Pipeline; 80/20 split","Explain preprocessing and why State is one-hot encoded.","Pipeline diagram"
11,Modeling Strategy,"LinearRegression; continuous target; small dataset; interpretable","Explain why Linear Regression is selected.","Regression line graphic"
12,Model Experiments,"R&D only; R&D + Marketing; Numerical features; All features","Explain the four model experiments and why feature sets are compared.","Four model cards"
13,Evaluation Metrics,"R2; MAE; RMSE; CV R2 Mean; CV R2 Std; CV RMSE Mean","Explain train-test and 5-fold CV evaluation.","Metrics dashboard"
14,Model Comparison,"R&D only CV R2 0.9374; R&D + Marketing CV R2 0.9389; All features CV R2 0.9279","Explain that R&D + Marketing has the best CV R2 while all features performs worse.","Highlighted comparison table"
15,Feature Selection Evidence,"Pearson; SelectKBest; RFE; LASSO; Random Forest; R&D dominant","Explain that multiple methods agree R&D is the dominant predictor.","Evidence funnel"
16,Random Forest Importance,"R&D 0.9228; Marketing 0.0670; Administration 0.0072; State about 0.0030","Explain nonlinear feature importance and low value of Administration/State.","Random Forest importance chart"
17,Final Model Decision,"Main model: Profit=f(R&D+Marketing); benchmark: Profit=f(R&D)","Explain the final model choice and benchmark.","Decision box"
18,Deployment Simulation,"Sample input; predicted Profit 150042.94","Explain deployment simulation and prediction output.","Input-output card"
19,Business Interpretation,"Prioritize innovation; use Marketing for reach; avoid overvaluing Administration/State; no causality","Explain practical business meaning and caution.","Strategy pyramid"
20,Final Conclusion,"Use R&D + Marketing; keep R&D benchmark; predictive association not causality","Close with final recommendation and limitation.","Closing Excalidraw infographic"
